AMKA;first_name;last_name;age;phone_number
11015032143;Φωτεινή;Γεωργίου;97;974-135-8745
11015073624;Αλεξάνδρα;Στεργίου;61;145-517-6431
11015074295;Γεωργία;Μιχαηλίδου;50;458-869-4760
11015080947;Σοφία;Οικονόμου;25;479-904-7531
11015055957;Αγγελική;Μιχαηλίδου;70;776-694-9087
11015007359;Χρύσα;Μακρή;74;254-849-9174
11015037317;Κατερίνα;Μιχαηλίδου;85;197-572-8585
11015001337;Αγγελική;Μακρή;98;745-379-1072
11015003022;Χριστίνα;Στεργίου;1;435-304-4602
11015090696;Φωτεινή;Σαμαρά;35;355-987-6237
11015050998;Ευαγγελία;Σαμαρά;19;742-906-6584
11015097886;Αγγελική;Χατζή;67;894-666-3687
11015038469;Ευαγγελία;Ιωάννου;54;456-464-8583
11015072803;Μαρίνα;Μιχαηλίδου;46;901-290-0216
11015079227;Ελένη;Μιχαηλίδου;38;208-284-4193
11015002336;Αγγελική;Ιωάννου;97;948-805-5240
11015078843;Δέσποινα;Κωνσταντινίδου;52;686-874-4273
11015012227;Μαρίνα;Πανταζή;18;496-317-2019
11015099063;Κατερίνα;Χατζή;70;658-708-1694
11015008777;Χρύσα;Παππά;34;415-620-1689
11015087307;Ελένη;Γεωργίου;61;361-937-7546
11015018604;Νικολέτα;Μιχαηλίδου;5;486-780-8921
11015093229;Δήμητρα;Πανταζή;24;890-443-6316
11015077103;Γεωργία;Γεωργίου;84;107-609-3965
11015034828;Αλεξάνδρα;Μιχαηλίδου;96;746-196-1051
11015076159;Χριστίνα;Ιωάννου;76;501-895-1269
11015096645;Γεωργία;Νικολάου;89;558-508-2962
11015014127;Σοφία;Διαμαντή;39;644-298-7655
11015066473;Ευαγγελία;Μακρή;8;875-472-6234
11015061156;Χρύσα;Μιχαηλίδου;68;792-721-0391
11015026999;Χρύσα;Καραγιάννη;59;350-835-7147
11015094727;Χρύσα;Μακρή;36;574-101-1894
11015051979;Αντωνία;Κωνσταντινίδου;75;983-740-2464
11015041650;Ιωάννα;Κωνσταντινίδου;76;734-516-9179
11015092541;Ιωάννα;Παπαδοπούλου;17;185-481-2184
11015026221;Χριστίνα;Παπαδοπούλου;40;359-394-2856
11015050587;Ελένη;Αναστασιάδου;67;952-392-8301
11015051194;Ιωάννα;Ιωάννου;7;345-604-8943
11015035499;Βασιλική;Σαμαρά;71;721-262-2629
11015038780;Χρύσα;Βλάχου;94;382-976-6974
11015038307;Δήμητρα;Αγγελιδάκη;51;813-992-7762
11015093390;Αγγελική;Κυριακού;15;666-568-8409
11015074357;Δήμητρα;Μιχαηλίδου;17;911-107-1256
11015059551;Ευαγγελία;Οικονόμου;53;657-427-7460
11015087931;Αγγελική;Καραγιάννη;27;286-453-7083
11015069871;Ιωάννα;Αγγελιδάκη;44;547-919-6637
11015054930;Γεωργία;Χατζή;13;614-884-5366
11015071902;Αγγελική;Βλάχου;55;771-515-2954
11015041990;Ελένη;Μιχαηλίδου;10;727-553-7995
11015052923;Δέσποινα;Μακρή;78;420-230-6066
11015022813;Αντωνία;Στεργίου;22;337-720-8798
11015030145;Ειρήνη;Κυριακού;38;383-725-5500
11015071644;Ειρήνη;Αγγελιδάκη;47;373-188-7805
11015003086;Άννα;Βλάχου;80;270-392-7070
11015044951;Ιωάννα;Διαμαντή;49;825-177-0584
11015091203;Ευαγγελία;Αναστασιάδου;1;132-868-6246
11015058240;Αγγελική;Ιωάννου;57;454-947-6702
11015015028;Μαρίνα;Ιωάννου;4;573-233-6756
11015004799;Φωτεινή;Διαμαντή;56;939-525-8342
11015021985;Κατερίνα;Καραγιάννη;26;919-277-6044
11015074151;Μαρίνα;Μιχαηλίδου;50;806-910-0848
11015047725;Δέσποινα;Αγγελιδάκη;16;630-210-4168
11015084328;Δέσποινα;Σαμαρά;92;214-892-2386
11015052371;Χρύσα;Βλάχου;77;312-387-3069
11015076952;Γεωργία;Μακρή;85;376-987-4876
11015075524;Σοφία;Μιχαηλίδου;22;941-966-0360
11015066455;Ειρήνη;Αγγελιδάκη;13;171-261-3776
11015005752;Βασιλική;Μακρή;6;322-101-2977
11015087637;Δέσποινα;Παππά;61;978-663-7278
11015064821;Σοφία;Νικολάου;92;472-637-9399
11015038487;Βασιλική;Διαμαντή;63;386-639-3909
11015004762;Κατερίνα;Παππά;1;515-144-7196
11015021217;Κατερίνα;Μακρή;91;557-231-4839
11015049983;Φωτεινή;Νικολάου;68;213-621-5287
11015065571;Δήμητρα;Καραγιάννη;56;136-466-4186
11015096226;Μαρίνα;Αναστασιάδου;60;585-933-4990
11015076514;Μαρίνα;Νικολάου;32;600-483-1290
11015009749;Νικολέτα;Νικολάου;43;251-563-1493
11015028014;Μαρίνα;Διαμαντή;79;769-668-8863
11015097001;Ειρήνη;Αγγελιδάκη;27;681-244-3666
11015086610;Αντωνία;Αγγελιδάκη;64;479-171-5430
11015098983;Γεωργία;Δημητρίου;12;190-766-1903
