+-------------+--------------+-------+-----------------+
| start_AMKA  | rank         | level | AMKA_supervisor |
+-------------+--------------+-------+-----------------+
| 11015001337 | trainee      |     0 |     11015026999 |
| 11015001337 | consultant B |     1 |     11015080947 |
| 11015001337 | consultant A |     2 |            NULL |
| 11015002336 | consultant B |     0 |     11015087931 |
| 11015002336 | director     |     1 |            NULL |
| 11015003022 | director     |     0 |            NULL |
| 11015003086 | consultant A |     0 |            NULL |
| 11015004762 | consultant A |     0 |            NULL |
| 11015004799 | consultant B |     0 |            NULL |
| 11015005752 | consultant A |     0 |            NULL |
| 11015007359 | consultant A |     0 |            NULL |
| 11015008777 | consultant B |     0 |     11015034828 |
| 11015008777 | consultant A |     1 |            NULL |
| 11015009749 | trainee      |     0 |     11015097886 |
| 11015009749 | consultant A |     1 |            NULL |
| 11015012227 | trainee      |     0 |     11015077103 |
| 11015012227 | consultant B |     1 |     11015093229 |
| 11015012227 | director     |     2 |            NULL |
| 11015014127 | consultant B |     0 |     11015049983 |
| 11015014127 | consultant A |     1 |     11015093390 |
| 11015014127 | director     |     2 |            NULL |
| 11015015028 | consultant A |     0 |            NULL |
| 11015018604 | trainee      |     0 |     11015035499 |
| 11015018604 | consultant B |     1 |            NULL |
| 11015021217 | director     |     0 |            NULL |
| 11015021985 | trainee      |     0 |     11015096226 |
| 11015021985 | consultant A |     1 |            NULL |
| 11015022813 | consultant B |     0 |     11015064821 |
| 11015022813 | director     |     1 |            NULL |
| 11015026221 | consultant A |     0 |     11015028014 |
| 11015026221 | director     |     1 |            NULL |
| 11015026999 | consultant B |     0 |     11015080947 |
| 11015026999 | consultant A |     1 |            NULL |
| 11015028014 | director     |     0 |            NULL |
| 11015030145 | trainee      |     0 |     11015059551 |
| 11015030145 | consultant B |     1 |     11015055957 |
| 11015030145 | consultant A |     2 |            NULL |
| 11015032143 | consultant A |     0 |            NULL |
| 11015034828 | consultant A |     0 |            NULL |
| 11015035499 | consultant B |     0 |            NULL |
| 11015037317 | director     |     0 |            NULL |
| 11015038307 | trainee      |     0 |     11015051194 |
| 11015038307 | consultant A |     1 |            NULL |
