AMKA;father_name;sex;weight;height;address;profession;citizenship
11015057394;Κώστας;Female;100.1;157;Αθηνάς 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015083515;Φώτης;Female;55.7;91;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Διευθύντρια Πωλήσεων;Ελληνική
11015023359;Χρήστος;Female;128.6;162;Σκουφά 1, 10563 Αθήνα;Γραφίστρια;Ελληνική
11015097813;Σταύρος;Female;57.3;180;Ερμού 1, 10563 Αθήνα;Γραμματέας;Ελληνική
11015040777;Χρήστος;Female;77.2;188;Ερμού 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015038682;Κυριάκος;Female;76.0;214;Αμερικής 1, 10563 Αθήνα;Συμβολαιογράφος;Ελληνική
11015077256;Σωτήρης;Female;120.0;106;Βουκουρεστίου 1, 10563 Αθήνα;Προγραμματίστρια;Ελληνική
11015034383;Σπύρος;Female;102.5;94;Αμερικής 1, 10563 Αθήνα;Γραφίστρια;Ελληνική
11015054565;Σωτήρης;Female;27.9;116;Σκουφά 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015018631;Φώτης;Female;45.0;219;Σκουφά 1, 10563 Αθήνα;Λογίστρια;Ελληνική
11015022412;Σωτήρης;Female;47.8;215;Αχαρνών 1, 10563 Αθήνα;Διακοσμήτρια;Ελληνική
11015011978;Διονύσης;Female;43.4;183;Ακαδημίας 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015000150;Αλέξανδρος;Female;63.3;218;Πειραιώς 1, 10563 Αθήνα;Μεταφράστρια;Ελληνική
11015058160;Κώστας;Female;119.7;107;Πατησίων 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015025455;Νίκος;Female;32.2;130;Σκουφά 1, 10563 Αθήνα;Κομμώτρια;Ελληνική
11015084462;Διονύσης;Female;59.4;129;Ακαδημίας 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015077602;Κυριάκος;Female;125.2;230;Αιόλου 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015092569;Παναγιώτης;Female;98.2;221;Ερμού 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015070976;Θανάσης;Female;124.4;204;Κηφισίας 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015002201;Χρήστος;Female;53.9;168;Ερμού 1, 10563 Αθήνα;Ψυχολόγος;Ελληνική
11015061940;Νίκος;Female;75.8;198;Σταδίου 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015082400;Γιώργος;Female;103.6;177;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Νοσηλεύτρια;Ελληνική
11015020824;Βαγγέλης;Female;30.1;155;Ιπποκράτους 1, 10563 Αθήνα;Διευθύντρια Πωλήσεων;Ελληνική
99900000005;Μανώλης;Female;48.1;148;Ιπποκράτους 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015012922;Γιώργος;Female;116.0;192;Αμερικής 1, 10563 Αθήνα;Σύμβουλος Επιχειρήσεων;Ελληνική
11015069194;Ηλίας;Female;62.6;201;Μεσογείων 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015073492;Βασίλης;Female;106.0;155;Μητροπόλεως 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015001845;Γιώργος;Female;74.5;162;Σταδίου 1, 10563 Αθήνα;Πωλήτρια;Ελληνική
11015041687;Σταύρος;Female;44.6;220;Ευριπίδου 1, 10563 Αθήνα;Ψυχολόγος;Ελληνική
11015038842;Παναγιώτης;Female;114.4;147;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015093906;Γιάννης;Female;20.0;221;Αιόλου 1, 10563 Αθήνα;Ερευνήτρια;Ελληνική
11015091445;Στέλιος;Female;110.9;169;Κηφισίας 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015052629;Λεωνίδας;Female;27.5;147;Πατησίων 1, 10563 Αθήνα;Σύμβουλος Επιχειρήσεων;Ελληνική
11015091631;Μανώλης;Female;51.4;106;Ευριπίδου 1, 10563 Αθήνα;Ψυχολόγος;Ελληνική
11015004548;Στέλιος;Female;64.5;164;Ευριπίδου 1, 10563 Αθήνα;Νοσηλεύτρια;Ελληνική
11015023331;Βασίλης;Female;52.4;136;Αμερικής 1, 10563 Αθήνα;Φωτογράφος;Ελληνική
11015053682;Μιχάλης;Female;83.8;141;Μεσογείων 1, 10563 Αθήνα;Καθηγήτρια;Ελληνική
11015088716;Παύλος;Female;89.1;130;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Πολιτικός Μηχανικός;Ελληνική
11015063706;Σταύρος;Female;61.3;206;Σόλωνος 1, 10563 Αθήνα;Κτηνίατρος;Ελληνική
11015083089;Δημήτρης;Female;108.6;197;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015068836;Γιάννης;Female;40.5;136;Μητροπόλεως 1, 10563 Αθήνα;Πολιτικός Μηχανικός;Ελληνική
11015017650;Παύλος;Female;59.5;223;Πειραιώς 1, 10563 Αθήνα;Δημοσιογράφος;Ελληνική
11015055323;Παναγιώτης;Female;110.4;141;Κανάρη 1, 10563 Αθήνα;Ηλεκτρολόγος;Ελληνική
11015083463;Δημήτρης;Female;98.7;158;Αχαρνών 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015040526;Αλέξανδρος;Female;90.1;194;Πανεπιστημίου 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015009990;Αντώνης;Female;112.4;196;Ακαδημίας 1, 10563 Αθήνα;Μηχανολόγος Μηχανικός;Ελληνική
11015023215;Δημήτρης;Female;25.6;213;Αχαρνών 1, 10563 Αθήνα;Διευθύντρια Πωλήσεων;Ελληνική
11015004129;Δημήτρης;Female;82.9;183;Μεσογείων 1, 10563 Αθήνα;Κτηνίατρος;Ελληνική
11015013903;Νίκος;Female;46.5;104;Σόλωνος 1, 10563 Αθήνα;Συμβολαιογράφος;Ελληνική
