AMKA;hire_date;staff_type;image_url;im_description
11015032143;14/9/1998;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015073624;5/10/2020;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015074295;1/7/2010;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015080947;26/10/2007;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015055957;16/7/2020;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015007359;15/3/2011;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015037317;17/7/2009;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015001337;29/11/2008;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015003022;12/5/2004;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015090696;25/3/2009;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015050998;20/1/2010;doctor;images/doctor.png;Ορθοπεδικός ειδική στην αποκατάσταση αρθρώσεων.
11015097886;30/7/2022;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015038469;28/6/2012;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015072803;6/8/2003;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015079227;17/5/2015;doctor;images/doctor.png;Ορθοπεδικός ειδική στην αποκατάσταση αρθρώσεων.
11015002336;3/4/2023;doctor;images/doctor.png;Γνωστή για την αριστεία σε μη επεμβατικές καρδιολογικές πράξεις.
11015078843;14/1/1998;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015012227;7/4/2005;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015099063;13/4/2006;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015008777;22/7/2017;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015087307;3/2/2025;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015018604;12/4/2011;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015093229;10/5/1997;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015077103;28/6/2006;doctor;images/doctor.png;Γνωστή για την αριστεία σε μη επεμβατικές καρδιολογικές πράξεις.
11015034828;3/6/2013;doctor;images/doctor.png;Γνωστή για την αριστεία σε μη επεμβατικές καρδιολογικές πράξεις.
11015076159;2/10/2011;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015096645;4/7/1998;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015014127;7/1/2013;doctor;images/doctor.png;Αφοσιωμένη στην εσωτερική παθολογία.
11015066473;19/1/2017;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015061156;21/12/2014;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015026999;9/1/1996;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015094727;29/8/2021;doctor;images/doctor.png;Γνωστή για την αριστεία σε μη επεμβατικές καρδιολογικές πράξεις.
11015051979;13/10/2024;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015041650;7/2/2015;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015092541;22/11/2015;doctor;images/doctor.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015026221;11/6/2001;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015050587;21/9/2010;doctor;images/doctor.png;Αφοσιωμένη στην εσωτερική παθολογία.
11015051194;19/9/1995;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015035499;4/10/2011;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015038780;14/12/1995;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015038307;19/12/2008;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015093390;23/4/1996;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015074357;26/8/2025;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015059551;7/7/2004;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015087931;17/1/2005;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015069871;24/7/2004;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015054930;19/9/2021;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015071902;4/8/2014;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015041990;23/4/2004;doctor;images/doctor.png;Γνωστή για την αριστεία σε μη επεμβατικές καρδιολογικές πράξεις.
11015052923;1/1/2015;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015022813;26/2/2024;doctor;images/doctor.png;Ορθοπεδικός ειδική στην αποκατάσταση αρθρώσεων.
11015030145;11/5/2021;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015071644;19/11/2009;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015003086;26/12/2003;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015044951;10/8/1999;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015091203;23/7/2020;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015058240;16/12/2001;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015015028;3/6/1998;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015004799;19/5/2023;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015021985;31/12/1997;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015074151;14/12/2001;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015047725;20/12/2016;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015084328;1/10/2001;doctor;images/doctor.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015052371;17/4/2019;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015076952;1/4/1999;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015075524;17/9/1996;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015066455;29/5/2000;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015005752;19/8/2024;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015087637;25/8/2013;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015064821;16/7/2012;doctor;images/doctor.png;Ορθοπεδικός ειδική στην αποκατάσταση αρθρώσεων.
11015038487;18/4/2005;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015004762;22/9/1998;doctor;images/doctor.png;Ορθοπεδικός ειδική στην αποκατάσταση αρθρώσεων.
11015021217;1/12/2002;doctor;images/doctor.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015049983;13/10/2005;doctor;images/doctor.png;Αφοσιωμένη στην εσωτερική παθολογία.
11015065571;30/9/2013;doctor;images/doctor.png;Ορθοπεδικός ειδική στην αποκατάσταση αρθρώσεων.
11015096226;15/8/2014;doctor;images/doctor.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015076514;29/9/2014;doctor;images/doctor.png;Αφοσιωμένη στην εσωτερική παθολογία.
11015009749;11/7/1997;doctor;images/doctor.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015028014;8/7/2022;doctor;images/doctor.png;Ειδική στη διαγνωστική απεικόνιση.
11015097001;21/10/2006;doctor;images/doctor.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015086610;28/8/2002;nurse;images/nurse.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015098983;13/3/2003;nurse;images/nurse.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015043337;16/11/2002;nurse;images/nurse.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015037601;19/9/2013;nurse;images/nurse.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015077951;28/7/2000;nurse;images/nurse.png;Πιστοποιημένη σε καινοτόμες χειρουργικές τεχνικές.
11015090865;28/1/1999;nurse;images/nurse.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015008740;20/10/2007;nurse;images/nurse.png;Ειδική στη διαγνωστική απεικόνιση.
11015030181;6/3/2015;nurse;images/nurse.png;Εξειδικευμένη στην παιδιατρική φροντίδα.
11015066384;3/8/2002;nurse;images/nurse.png;Αφοσιωμένη στην εσωτερική παθολογία.
11015071127;12/10/2017;nurse;images/nurse.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015025311;18/6/2021;nurse;images/nurse.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015030831;16/6/1996;nurse;images/nurse.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015012325;9/2/2014;nurse;images/nurse.png;Ειδική στη νευρολογία και σε σύνθετα περιστατικά.
11015047985;17/3/2008;nurse;images/nurse.png;Επαγγελματίας με 15ετή εμπειρία σε χρόνια νοσήματα.
11015087316;5/6/2000;nurse;images/nurse.png;Αφοσιωμένη στην εσωτερική παθολογία.
11015016429;17/9/2021;nurse;images/nurse.png;Ειδική στη διαγνωστική απεικόνιση.
11015020968;24/12/2020;nurse;images/nurse.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015054538;11/1/2013;nurse;images/nurse.png;Επιμελήτρια με έμφαση στην προληπτική ιατρική.
11015084621;18/2/1997;nurse;images/nurse.png;Εστιάζει στην καρδιαγγειακή υγεία.
11015063270;22/6/2007;nurse;images/nurse.png;Γνωστή για την αριστεία σε μη επεμβατικές καρδιολογικές πράξεις.
11015047342;26/1/1998;nurse;images/nurse.png;Ειδική στη διαγνωστική απεικόνιση.
