AMKA;dep_name;shift_type;date
11015032143;Cardiology;morning;01/01/2026
11015097886;Cardiology;morning;01/01/2026
11015005752;Cardiology;morning;01/01/2026
11015012325;Cardiology;morning;01/01/2026
11015020968;Cardiology;morning;01/01/2026
11015072046;Cardiology;morning;01/01/2026
11015056000;Cardiology;morning;01/01/2026
11015068774;Cardiology;morning;01/01/2026
11015085274;Cardiology;morning;01/01/2026
11015060139;Cardiology;morning;01/01/2026
11015023714;Cardiology;morning;01/01/2026
11015073624;Emergency;morning;01/01/2026
11015074357;Emergency;morning;01/01/2026
11015003086;Emergency;morning;01/01/2026
11015024198;Emergency;morning;01/01/2026
11015072732;Emergency;morning;01/01/2026
11015078656;Emergency;morning;01/01/2026
11015095539;Emergency;morning;01/01/2026
11015003157;Emergency;morning;01/01/2026
21015030831;Emergency;morning;01/01/2026
11015032401;Emergency;morning;01/01/2026
11015079478;Emergency;morning;01/01/2026
11015087307;Gastroenterology;morning;01/01/2026
11015054930;Gastroenterology;morning;01/01/2026
21015051979;Gastroenterology;morning;01/01/2026
11015065624;Gastroenterology;morning;01/01/2026
11015019015;Gastroenterology;morning;01/01/2026
11015032054;Gastroenterology;morning;01/01/2026
11015069746;Gastroenterology;morning;01/01/2026
11015046272;Gastroenterology;morning;01/01/2026
11015075695;Gastroenterology;morning;01/01/2026
11015077700;Gastroenterology;morning;01/01/2026
11015080313;Gastroenterology;morning;01/01/2026
11015007359;Gynecology;morning;01/01/2026
11015034828;Gynecology;morning;01/01/2026
11015091203;Gynecology;morning;01/01/2026
11015086610;Gynecology;morning;01/01/2026
11015030181;Gynecology;morning;01/01/2026
11015025311;Gynecology;morning;01/01/2026
11015029905;Gynecology;morning;01/01/2026
99900000002;Gynecology;morning;01/01/2026
11015015206;Gynecology;morning;01/01/2026
11015046806;Gynecology;morning;01/01/2026
11015041669;Gynecology;morning;01/01/2026
11015074295;ICU;morning;01/01/2026
11015090696;ICU;morning;01/01/2026
11015072803;ICU;morning;01/01/2026
11015043337;ICU;morning;01/01/2026
11015015607;ICU;morning;01/01/2026
11015025259;ICU;morning;01/01/2026
11015070182;ICU;morning;01/01/2026
11015009847;ICU;morning;01/01/2026
11015016223;ICU;morning;01/01/2026
11015099713;ICU;morning;01/01/2026
11015077158;ICU;morning;01/01/2026
11015026221;Internal Medicine;morning;01/01/2026
11015038780;Internal Medicine;morning;01/01/2026
21015074295;Internal Medicine;morning;01/01/2026
11015037601;Internal Medicine;morning;01/01/2026
11015008740;Internal Medicine;morning;01/01/2026
11015083392;Internal Medicine;morning;01/01/2026
11015070805;Internal Medicine;morning;01/01/2026
11015073161;Internal Medicine;morning;01/01/2026
11015011825;Internal Medicine;morning;01/01/2026
11015068907;Internal Medicine;morning;01/01/2026
11015034819;Internal Medicine;morning;01/01/2026
11015093229;Microbiology;morning;01/01/2026
11015071902;Microbiology;morning;01/01/2026
11015064821;Microbiology;morning;01/01/2026
11015090865;Microbiology;morning;01/01/2026
11015066384;Microbiology;morning;01/01/2026
11015058632;Microbiology;morning;01/01/2026
11015052273;Microbiology;morning;01/01/2026
11015089421;Microbiology;morning;01/01/2026
11015067043;Microbiology;morning;01/01/2026
11015048537;Microbiology;morning;01/01/2026
11015081651;Microbiology;morning;01/01/2026
11015037317;Neurology;morning;01/01/2026
21015093390;Neurology;morning;01/01/2026
21015071644;Neurology;morning;01/01/2026
11015098983;Neurology;morning;01/01/2026
11015047985;Neurology;morning;01/01/2026
11015057517;Neurology;morning;01/01/2026
11015003451;Neurology;morning;01/01/2026
11015072420;Neurology;morning;01/01/2026
11015074231;Neurology;morning;01/01/2026
11015010345;Neurology;morning;01/01/2026
11015018383;Neurology;morning;01/01/2026
11015055957;Ophthalmology;morning;01/01/2026
11015051194;Ophthalmology;morning;01/01/2026
11015071644;Ophthalmology;morning;01/01/2026
11015069292;Ophthalmology;morning;01/01/2026
11015019596;Ophthalmology;morning;01/01/2026
11015003610;Ophthalmology;morning;01/01/2026
11015046423;Ophthalmology;morning;01/01/2026
11015024786;Ophthalmology;morning;01/01/2026
11015096155;Ophthalmology;morning;01/01/2026
11015015536;Ophthalmology;morning;01/01/2026
11015042490;Ophthalmology;morning;01/01/2026
11015021217;Orthopedics;morning;01/01/2026
21015007359;Orthopedics;morning;01/01/2026
21015047725;Orthopedics;morning;01/01/2026
11015007938;Orthopedics;morning;01/01/2026
11015060219;Orthopedics;morning;01/01/2026
11015086326;Orthopedics;morning;01/01/2026
11015001382;Orthopedics;morning;01/01/2026
11015027658;Orthopedics;morning;01/01/2026
11015016447;Orthopedics;morning;01/01/2026
11015032367;Orthopedics;morning;01/01/2026
11015003932;Orthopedics;morning;01/01/2026
11015087931;Pediatrics;morning;01/01/2026
11015015028;Pediatrics;morning;01/01/2026
21015055957;Pediatrics;morning;01/01/2026
11015077951;Pediatrics;morning;01/01/2026
11015087316;Pediatrics;morning;01/01/2026
11015063270;Pediatrics;morning;01/01/2026
11015075409;Pediatrics;morning;01/01/2026
11015092462;Pediatrics;morning;01/01/2026
11015011488;Pediatrics;morning;01/01/2026
